"","Plant","Flowers","Date","lon","lat","ele","Month","Year","julian"
"2237","Drymonia teuscheri",2,2016-05-23,-78.593539,0.128941,2150,"May","2016",144
"2238","Glossoloma oblongicalyx",2,2016-05-23,-78.593539,0.128941,2150,"May","2016",144
"2239","Drymonia teuscheri",4,2014-08-02,-78.595151,0.126969,2110,"August","2014",214
"2240","Glossoloma oblongicalyx",1,2016-09-07,-78.58213,0.128476,2450,"September","2016",251
"2241","Glossoloma oblongicalyx",1,2014-11-18,-78.583128,0.128528,2420,"November","2014",322
"2242","Gasteranthus lateralis",2,2014-11-18,-78.583128,0.128528,2420,"November","2014",322
"2243","Columnea medicinalis",1,2015-08-13,-78.5925,0.129296,2190,"August","2015",225
"2244","Besleria solanoides",20,2016-08-08,-78.597426,0.12135,1980,"August","2016",221
"2245","Glossoloma oblongicalyx",4,2016-09-07,-78.58211,0.12848,2450,"September","2016",251
"2246","Glossoloma oblongicalyx",1,2014-10-08,-78.581871,0.128854,2440,"October","2014",281
"2247","Columnea picta",1,2015-02-08,-78.629478,0.106959,1600,"February","2015",39
"2248","Besleria solanoides",1,2016-04-11,-78.593885,0.128475,2120,"April","2016",102
"2249","Columnea strigosa",2,2016-05-23,-78.593412,0.129027,2150,"May","2016",144
"2250","Glossoloma oblongicalyx",1,2015-08-13,-78.592453,0.129355,2190,"August","2015",225
"2251","Besleria solanoides",8,2016-08-08,-78.597442,0.121351,1980,"August","2016",221
"2252","Glossoloma oblongicalyx",1,2014-11-18,-78.582743,0.128483,2430,"November","2014",322
"2253","Glossoloma purpureum",1,2015-02-08,-78.629298,0.106919,1590,"February","2015",39
"2254","Columnea ciliata",2,2015-03-26,-78.59537,0.115121,1670,"March","2015",85
"2255","Glossoloma oblongicalyx",1,2016-04-11,-78.593793,0.128604,2130,"April","2016",102
"2256","Glossoloma purpureum",1,2014-05-11,-78.634118,0.115602,1380,"May","2014",131
"2257","Columnea picta",1,2015-05-22,-78.628529,0.107007,1610,"May","2015",142
"2258","Columnea picta",1,2014-06-20,-78.635317,0.117451,1370,"June","2014",171
"2259","Besleria solanoides",2,2014-08-02,-78.59467,0.127345,2120,"August","2014",214
"2260","Besleria solanoides",2,2014-08-02,-78.59467,0.127345,2120,"August","2014",214
"2261","Glossoloma oblongicalyx",1,2015-08-13,-78.59236,0.129405,2190,"August","2015",225
"2262","Glossoloma oblongicalyx",3,2016-09-07,-78.581926,0.128443,2450,"September","2016",251
"2263","Columnea medicinalis",1,2014-01-21,-78.592737,0.129223,2180,"January","2014",21
"2264","Glossoloma oblongicalyx",1,2014-01-21,-78.592737,0.129223,2180,"January","2014",21
"2265","Glossoloma oblongicalyx",2,2014-10-08,-78.581687,0.128775,2440,"October","2014",281
"2266","Glossoloma purpureum",8,2015-02-08,-78.629233,0.106877,1600,"February","2015",39
"2267","Columnea picta",1,2014-05-11,-78.634036,0.115607,1380,"May","2014",131
"2268","Columnea picta",NA,2014-06-20,-78.635316,0.117437,1380,"June","2014",171
"2269","Columnea mastersonii",1,2016-06-25,-78.634075,0.119102,1370,"June","2016",177
"2270","Glossoloma oblongicalyx",2,2015-08-13,-78.592333,0.129416,2200,"August","2015",225
"2271","Glossoloma oblongicalyx",2,2014-01-21,-78.592499,0.129338,2190,"January","2014",21
"2272","Columnea medicinalis",1,2016-04-11,-78.59372,0.128716,2140,"April","2016",102
"2273","Columnea picta",1,2014-05-11,-78.63397,0.115531,1380,"May","2014",131
"2274","Columnea ciliata",1,2016-06-25,-78.634251,0.119149,1360,"June","2016",177
"2275","Columnea medicinalis",1,2014-08-02,-78.594583,0.127435,2120,"August","2014",214
"2276","Glossoloma oblongicalyx",1,2015-08-13,-78.592284,0.129452,2200,"August","2015",225
"2277","Besleria solanoides",100,2016-08-08,-78.597145,0.121517,1990,"August","2016",221
"2278","Gasteranthus lateralis",1,2015-01-13,-78.597649,0.120707,1970,"January","2015",13
"2279","Besleria solanoides",4,2015-10-20,-78.593824,0.114628,1750,"October","2015",293
"2280","Besleria solanoides",12,2016-10-17,-78.596297,0.122569,2020,"October","2016",291
"2281","Columnea medicinalis",1,2016-10-17,-78.596297,0.122569,2020,"October","2016",291
"2282","Besleria solanoides",75,2014-11-06,-78.594779,0.127297,2120,"November","2014",310
"2283","Besleria solanoides",25,2014-11-06,-78.594779,0.127297,2120,"November","2014",310
"2284","Glossoloma oblongicalyx",1,2016-12-13,-78.591211,0.130358,2260,"December","2016",348
"2285","Columnea ciliata",2,2014-02-27,-78.596641,0.122479,2000,"February","2014",58
"2286","Drymonia teuscheri",3,2016-05-10,-78.595374,0.126785,2120,"May","2016",131
"2287","Glossoloma oblongicalyx",2,2014-07-23,-78.591972,0.129534,2200,"July","2014",204
"2288","Gasteranthus quitensis",20,2016-08-27,-78.62907,0.104178,1680,"August","2016",240
"2289","Besleria solanoides",5,2014-09-24,-78.59716,0.116391,1860,"September","2014",267
"2290","Columnea ciliata",3,2015-03-26,-78.595364,0.115252,1710,"March","2015",85
"2291","Glossoloma oblongicalyx",1,2016-04-11,-78.593663,0.128788,2140,"April","2016",102
"2292","Columnea picta",1,2014-05-11,-78.633956,0.115503,1380,"May","2014",131
"2293","Columnea picta",2,2015-05-22,-78.628576,0.106788,1610,"May","2015",142
"2294","Columnea medicinalis",2,2016-05-23,-78.593124,0.129079,2150,"May","2016",144
"2295","Columnea mastersonii",1,2016-06-25,-78.634421,0.119118,1370,"June","2016",177
"2296","Glossoloma oblongicalyx",4,2015-08-13,-78.592265,0.129483,2200,"August","2015",225
"2297","Glossoloma oblongicalyx",3,2015-08-13,-78.592265,0.129483,2200,"August","2015",225
"2298","Glossoloma oblongicalyx",1,2015-08-13,-78.592265,0.129483,2200,"August","2015",225
"2299","Glossoloma oblongicalyx",1,2014-01-21,-78.59194,0.129693,2210,"January","2014",21
"2300","Besleria solanoides",9,2014-12-16,-78.596163,0.115424,1830,"December","2014",350
"2301","Glossoloma oblongicalyx",6,2016-05-23,-78.592929,0.129033,2150,"May","2016",144
"2302","Columnea mastersonii",2,2014-06-20,-78.635211,0.117077,1370,"June","2014",171
"2303","Columnea medicinalis",1,2015-08-13,-78.592167,0.129497,2210,"August","2015",225
"2304","Glossoloma oblongicalyx",2,2015-08-13,-78.592167,0.129497,2210,"August","2015",225
"2305","Glossoloma oblongicalyx",1,2016-09-07,-78.581704,0.128769,2460,"September","2016",251
"2306","Glossoloma purpureum",2,2015-02-08,-78.628418,0.106967,1610,"February","2015",39
"2307","Drymonia teuscheri",1,2016-04-11,-78.593723,0.128861,2140,"April","2016",102
"2308","Drymonia teuscheri",12,2016-05-23,-78.593115,0.129113,2150,"May","2016",144
"2309","Drymonia teuscheri",6,2016-05-23,-78.593115,0.129113,2150,"May","2016",144
"2310","Drymonia teuscheri",7,2016-05-23,-78.593115,0.129113,2150,"May","2016",144
"2311","Drymonia teuscheri",5,2014-08-02,-78.594481,0.127559,2130,"August","2014",214
"2312","Glossoloma oblongicalyx",2,2015-08-13,-78.592083,0.129589,2210,"August","2015",225
"2313","Besleria solanoides",8,2016-08-08,-78.596897,0.121971,1990,"August","2016",221
"2314","Glossoloma oblongicalyx",2,2016-09-07,-78.581607,0.128766,2460,"September","2016",251
"2315","Glossoloma oblongicalyx",1,2014-11-18,-78.582064,0.128578,2450,"November","2014",322
"2316","Besleria solanoides",8,2014-12-16,-78.596224,0.115884,1840,"December","2014",350
"2317","Columnea ciliata",1,2015-02-08,-78.62843,0.106778,1620,"February","2015",39
"2318","Columnea ciliata",5,2015-03-26,-78.595413,0.115098,1710,"March","2015",85
"2319","Glossoloma oblongicalyx",2,2015-08-13,-78.591906,0.1297,2220,"August","2015",225
"2320","Gasteranthus quitensis",5,2015-09-23,-78.596156,0.115545,1820,"September","2015",266
"2321","Glossoloma oblongicalyx",2,2016-09-07,-78.581465,0.128736,2460,"September","2016",251
"2322","Columnea ciliata",4,2015-02-08,-78.628489,0.106854,1620,"February","2015",39
"2323","Besleria solanoides",3,2015-05-22,-78.62948,0.106079,1650,"May","2015",142
"2324","Columnea medicinalis",2,2014-08-02,-78.59443,0.127689,2130,"August","2014",214
"2325","Glossoloma oblongicalyx",2,2016-09-07,-78.581472,0.128693,2470,"September","2016",251
"2326","Drymonia teuscheri",2,2015-08-13,-78.591783,0.129832,2220,"August","2015",225
"2327","Glossoloma oblongicalyx",1,2016-05-23,-78.592964,0.129274,2160,"May","2016",144
"2328","Glossoloma oblongicalyx",1,2016-04-11,-78.593143,0.129055,2150,"April","2016",102
"2329","Drymonia collegarum",3,2016-05-23,-78.592934,0.129244,2160,"May","2016",144
"2330","Besleria solanoides",3,2016-08-08,-78.596672,0.122484,2000,"August","2016",221
"2331","Columnea medicinalis",1,2014-01-21,-78.591219,0.130166,2250,"January","2014",21
"2332","Glossoloma oblongicalyx",1,2016-04-11,-78.593111,0.129084,2150,"April","2016",102
"2333","Besleria solanoides",40,2016-08-08,-78.596684,0.122547,2000,"August","2016",221
"2334","Columnea ciliata",5,2015-02-08,-78.628981,0.106362,1640,"February","2015",39
"2335","Drymonia teuscheri",1,2016-04-11,-78.593088,0.1291,2150,"April","2016",102
"2336","Besleria solanoides",6,2016-05-23,-78.592865,0.129191,2170,"May","2016",144
"2337","Columnea kucyniakii",2,2015-01-13,-78.597618,0.120833,1970,"January","2015",13
"2338","Columnea kucyniakii",4,2015-01-13,-78.597618,0.120833,1970,"January","2015",13
"2339","Besleria solanoides",24,2014-11-06,-78.594675,0.127348,2120,"November","2014",310
"2340","Columnea kucyniakii",2,2014-02-27,-78.596767,0.122542,2000,"February","2014",58
"2341","Drymonia teuscheri",1,2016-05-10,-78.595307,0.126831,2120,"May","2016",131
"2342","Glossoloma purpureum",1,2014-09-27,-78.633696,0.119152,1360,"September","2014",270
"2343","Columnea strigosa",1,2016-05-23,-78.592749,0.129122,2180,"May","2016",144
"2344","Drymonia teuscheri",10,2015-08-13,-78.591576,0.130266,2230,"August","2015",225
"2345","Drymonia teuscheri",10,2015-08-13,-78.591576,0.130266,2230,"August","2015",225
"2346","Gasteranthus quitensis",2,2016-09-13,-78.633874,0.119141,1350,"September","2016",257
"2347","Glossoloma oblongicalyx",1,2015-08-13,-78.591482,0.130265,2240,"August","2015",225
"2348","Columnea medicinalis",2,2016-08-08,-78.596566,0.122744,2010,"August","2016",221
"2349","Columnea mastersonii",3,2016-09-13,-78.634208,0.11911,1360,"September","2016",257
"2350","Columnea ciliata",1,2015-02-08,-78.629476,0.10613,1650,"February","2015",39
"2351","Drymonia teuscheri",5,2016-05-23,-78.592691,0.129213,2180,"May","2016",144
"2352","Drymonia tenuis",1,2016-06-25,-78.635344,0.117655,1370,"June","2016",177
"2353","Glossoloma oblongicalyx",2,2014-08-02,-78.59368,0.128788,2130,"August","2014",214
"2354","Glossoloma oblongicalyx",1,2015-08-13,-78.59137,0.130213,2240,"August","2015",225
"2355","Glossoloma oblongicalyx",1,2015-08-13,-78.59137,0.130213,2240,"August","2015",225
"2356","Columnea medicinalis",6,2016-08-08,-78.596591,0.122644,2020,"August","2016",221
"2357","Drymonia teuscheri",8,2014-01-21,-78.590978,0.130732,2260,"January","2014",21
"2358","Columnea mastersonii",1,2014-10-14,-78.63415,0.119142,1360,"October","2014",287
"2359","Besleria solanoides",8,2014-12-16,-78.596886,0.116278,1850,"December","2014",350
"2360","Columnea medicinalis",2,2014-08-02,-78.593667,0.128837,2140,"August","2014",214
"2361","Glossoloma oblongicalyx",1,2015-08-13,-78.59128,0.130144,2240,"August","2015",225
"2362","Drymonia collegarum",1,2016-08-08,-78.596487,0.122598,2020,"August","2016",221
"2363","Besleria solanoides",30,2016-08-08,-78.596487,0.122598,2020,"August","2016",221
"2364","Glossoloma oblongicalyx",1,2014-01-21,-78.590919,0.130814,2270,"January","2014",21
"2365","Columnea picta",1,2014-10-14,-78.635321,0.118189,1370,"October","2014",287
"2366","Drymonia teuscheri",3,2016-05-23,-78.59258,0.12924,2190,"May","2016",144
"2367","Columnea medicinalis",6,2015-08-13,-78.591224,0.130134,2250,"August","2015",225
"2368","Besleria solanoides",12,2016-08-08,-78.596369,0.122519,2020,"August","2016",221
"2369","Glossoloma purpureum",2,2015-02-08,-78.629629,0.105773,1650,"February","2015",39
"2370","Glossoloma oblongicalyx",1,2016-04-11,-78.592687,0.129161,2180,"April","2016",102
"2371","Columnea mastersonii",2,2015-05-22,-78.629066,0.104293,1680,"May","2015",142
"2372","Columnea mastersonii",2,2015-05-22,-78.629066,0.104293,1680,"May","2015",142
"2373","Columnea medicinalis",3,2015-09-23,-78.596808,0.116234,1850,"September","2015",266
"2374","Columnea ciliata",2,2015-03-26,-78.595968,0.115085,1810,"March","2015",85
"2375","Drymonia teuscheri",12,2016-04-11,-78.592764,0.129196,2190,"April","2016",102
"2376","Columnea picta",1,2015-05-22,-78.62907,0.10421,1680,"May","2015",142
"2377","Drymonia teuscheri",3,2016-05-23,-78.592462,0.12931,2190,"May","2016",144
"2378","Glossoloma purpureum",2,2014-06-20,-78.634116,0.115673,1380,"June","2014",171
"2379","Columnea mastersonii",1,2016-06-25,-78.635214,0.117076,1370,"June","2016",177
"2380","Besleria solanoides",2,2014-08-02,-78.593547,0.128934,2140,"August","2014",214
"2381","Glossoloma oblongicalyx",1,2015-08-13,-78.59119,0.130307,2250,"August","2015",225
"2382","Columnea picta",2,2016-08-08,-78.596263,0.122625,2020,"August","2016",221
"2383","Columnea mastersonii",7,2014-10-14,-78.63526,0.117215,1360,"October","2014",287
"2384","Besleria solanoides",40,2014-12-16,-78.597129,0.11633,1860,"December","2014",350
"2385","Besleria solanoides",40,2014-12-16,-78.597129,0.11633,1860,"December","2014",350
"2386","Columnea ciliata",1,2014-03-22,-78.634828,0.116434,1370,"March","2014",81
"2387","Columnea picta",8,2014-05-11,-78.632575,0.114086,1370,"May","2014",131
"2388","Columnea mastersonii",4,2015-05-22,-78.629046,0.104039,1690,"May","2015",142
"2389","Glossoloma oblongicalyx",1,2016-05-23,-78.592355,0.129321,2190,"May","2016",144
"2390","Columnea picta",1,2014-06-20,-78.634002,0.115507,1380,"June","2014",171
"2391","Columnea ciliata",2,2014-03-22,-78.634821,0.116417,1370,"March","2014",81
"2392","Columnea ciliata",1,2014-03-22,-78.634821,0.116417,1370,"March","2014",81
"2393","Columnea ciliata",1,2014-03-22,-78.634821,0.116417,1370,"March","2014",81
"2394","Glossoloma oblongicalyx",1,2016-04-11,-78.592611,0.129239,2190,"April","2016",102
"2395","Glossoloma oblongicalyx",1,2016-05-23,-78.59233,0.129333,2190,"May","2016",144
"2396","Besleria solanoides",10,2016-08-09,-78.595434,0.126733,2120,"August","2016",222
"2397","Glossoloma purpureum",4,2014-03-22,-78.63425,0.115794,1370,"March","2014",81
"2398","Columnea picta",1,2016-06-25,-78.634987,0.116616,1370,"June","2016",177
"2399","Columnea kucyniakii",2,2015-01-13,-78.598813,0.117225,1940,"January","2015",13
"2400","Glossoloma oblongicalyx",3,2015-10-19,-78.590858,0.131008,2270,"October","2015",292
"2401","Gasteranthus quitensis",16,2016-10-17,-78.59767,0.120156,1940,"October","2016",291
"2402","Besleria solanoides",9,2016-10-17,-78.59767,0.120156,1940,"October","2016",291
"2403","Glossoloma oblongicalyx",2,2016-07-28,-78.592049,0.129583,2210,"July","2016",210
"2404","Gasteranthus quitensis",8,2016-08-27,-78.629221,0.10679,1590,"August","2016",240
"2405","Columnea kucyniakii",5,2015-01-13,-78.597607,0.120863,1970,"January","2015",13
"2406","Gasteranthus quitensis",2,2015-10-20,-78.593857,0.114693,1750,"October","2015",293
"2407","Columnea medicinalis",3,2016-10-17,-78.596327,0.122661,2030,"October","2016",291
"2408","Besleria solanoides",20,2014-11-06,-78.594669,0.127379,2120,"November","2014",310
"2409","Besleria solanoides",40,2014-11-06,-78.594669,0.127379,2120,"November","2014",310
"2410","Besleria solanoides",18,2014-11-06,-78.594669,0.127379,2120,"November","2014",310
"2411","Besleria solanoides",48,2014-12-03,-78.596332,0.115992,1840,"December","2014",337
"2412","Columnea kucyniakii",2,2014-02-27,-78.596669,0.122684,2010,"February","2014",58
"2413","Columnea ciliata",4,2015-03-07,-78.628985,0.104308,1690,"March","2015",66
"2414","Columnea medicinalis",2,2016-05-10,-78.595251,0.126851,2120,"May","2016",131
"2415","Gasteranthus quitensis",2,2016-07-29,-78.59333,0.115428,1740,"July","2016",211
"2416","Columnea mastersonii",1,2016-08-27,-78.628884,0.104032,1690,"August","2016",240
"2417","Glossoloma purpureum",2,2014-10-14,-78.634668,0.116184,1370,"October","2014",287
"2418","Besleria solanoides",18,2014-11-19,-78.599286,0.116683,1950,"November","2014",323
"2419","Besleria solanoides",21,2014-11-19,-78.599286,0.116683,1950,"November","2014",323
"2420","Columnea medicinalis",1,2015-02-08,-78.629298,0.104799,1670,"February","2015",39
"2421","Glossoloma purpureum",2,2015-02-08,-78.629298,0.104799,1670,"February","2015",39
"2422","Drymonia teuscheri",6,2016-04-11,-78.592278,0.129405,2200,"April","2016",102
"2423","Columnea mastersonii",2,2014-05-11,-78.629096,0.107715,1570,"May","2014",131
"2424","Drymonia tenuis",2,2014-05-11,-78.629096,0.107715,1570,"May","2014",131
"2425","Glossoloma oblongicalyx",2,2015-08-13,-78.591002,0.130697,2260,"August","2015",225
"2426","Glossoloma purpureum",3,2015-02-08,-78.62898,0.104256,1690,"February","2015",39
"2427","Glossoloma oblongicalyx",1,2016-04-11,-78.592221,0.129465,2200,"April","2016",102
"2428","Columnea mastersonii",1,2014-05-11,-78.628851,0.107801,1560,"May","2014",131
"2429","Glossoloma oblongicalyx",1,2016-05-23,-78.591944,0.129535,2200,"May","2016",144
"2430","Glossoloma purpureum",1,2016-06-25,-78.634906,0.116507,1380,"June","2016",177
"2431","Besleria solanoides",18,2016-08-09,-78.595376,0.126743,2110,"August","2016",222
"2432","Columnea medicinalis",1,2014-01-21,-78.586387,0.130173,2320,"January","2014",21
"2433","Columnea picta",1,2014-10-14,-78.634239,0.115774,1370,"October","2014",287
"2434","Besleria solanoides",50,2014-11-19,-78.599089,0.116827,1950,"November","2014",323
"2435","Besleria solanoides",2,2014-11-19,-78.599089,0.116827,1950,"November","2014",323
"2436","Glossoloma purpureum",5,2015-02-08,-78.629009,0.104181,1690,"February","2015",39
"2437","Glossoloma purpureum",4,2015-02-08,-78.629009,0.104181,1690,"February","2015",39
"2438","Columnea medicinalis",1,2016-04-11,-78.59207,0.129597,2210,"April","2016",102
"2439","Columnea mastersonii",1,2014-05-11,-78.628753,0.107711,1560,"May","2014",131
"2440","Drymonia teuscheri",8,2016-05-23,-78.5918,0.129711,2200,"May","2016",144
"2441","Glossoloma oblongicalyx",1,2015-08-13,-78.590935,0.130831,2260,"August","2015",225
"2442","Besleria solanoides",10,2016-08-09,-78.595291,0.126814,2110,"August","2016",222
"2443","Glossoloma purpureum",2,2016-09-13,-78.634949,0.116543,1370,"September","2016",257
"2444","Besleria solanoides",8,2014-11-19,-78.598997,0.116869,1950,"November","2014",323
"2445","Columnea ciliata",1,2014-03-22,-78.633654,0.11524,1370,"March","2014",81
"2446","Glossoloma oblongicalyx",1,2016-04-11,-78.591883,0.129753,2220,"April","2016",102
"2447","Columnea mastersonii",2,2014-05-11,-78.628714,0.107686,1560,"May","2014",131
"2448","Glossoloma purpureum",3,2015-02-08,-78.628978,0.103986,1700,"February","2015",39
"2449","Drymonia teuscheri",1,2016-04-11,-78.591831,0.129777,2220,"April","2016",102
"2450","Gasteranthus quitensis",4,2014-10-14,-78.633817,0.115453,1370,"October","2014",287
"2451","Glossoloma purpureum",1,2015-02-08,-78.629032,0.103846,1700,"February","2015",39
"2452","Drymonia teuscheri",1,2016-04-11,-78.591763,0.129898,2230,"April","2016",102
"2453","Columnea mastersonii",1,2014-05-11,-78.628672,0.107662,1560,"May","2014",131
"2454","Columnea medicinalis",1,2015-09-23,-78.599424,0.116627,1950,"September","2015",266
"2455","Glossoloma purpureum",3,2016-09-13,-78.634632,0.116178,1370,"September","2016",257
"2456","Columnea mastersonii",2,2014-05-11,-78.628892,0.107544,1560,"May","2014",131
"2457","Besleria solanoides",1,2015-05-26,-78.599062,0.116823,1950,"May","2015",146
"2458","Columnea picta",1,2016-06-25,-78.634571,0.116124,1380,"June","2016",177
"2459","Glossoloma purpureum",4,2016-06-25,-78.634571,0.116124,1380,"June","2016",177
"2460","Gasteranthus lateralis",1,2014-08-02,-78.593123,0.129104,2150,"August","2014",214
"2461","Glossoloma oblongicalyx",3,2015-08-13,-78.590811,0.131002,2270,"August","2015",225
"2462","Besleria solanoides",12,2016-08-09,-78.594871,0.127236,2110,"August","2016",222
"2463","Besleria solanoides",9,2014-11-19,-78.598905,0.117046,1950,"November","2014",323
"2464","Besleria solanoides",24,2014-11-19,-78.598905,0.117046,1950,"November","2014",323
"2465","Columnea ciliata",4,2014-03-22,-78.633153,0.114677,1370,"March","2014",81
"2466","Columnea ciliata",2,2015-03-26,-78.599268,0.116713,1950,"March","2015",85
"2467","Columnea picta",1,2014-05-11,-78.62894,0.107546,1560,"May","2014",131
"2468","Drymonia collegarum",1,2015-05-26,-78.598862,0.117156,1950,"May","2015",146
"2469","Drymonia teuscheri",5,2016-05-23,-78.591415,0.130277,2220,"May","2016",144
"2470","Drymonia teuscheri",9,2014-08-02,-78.593114,0.12912,2150,"August","2014",214
"2471","Besleria solanoides",35,2016-08-09,-78.594871,0.12726,2120,"August","2016",222
"2472","Glossoloma purpureum",4,2016-09-13,-78.634172,0.115741,1370,"September","2016",257
"2473","Columnea picta",1,2014-10-14,-78.633748,0.115328,1370,"October","2014",287
"2474","Gasteranthus quitensis",1,2015-02-11,-78.593318,0.115212,1760,"February","2015",42
"2475","Columnea ciliata",4,2014-03-22,-78.632914,0.114419,1370,"March","2014",81
"2476","Columnea kucyniakii",1,2015-03-26,-78.598995,0.116867,1950,"March","2015",85
"2477","Drymonia teuscheri",6,2016-04-11,-78.591573,0.130333,2240,"April","2016",102
"2478","Drymonia teuscheri",8,2015-08-13,-78.590651,0.131061,2280,"August","2015",225
"2479","Besleria solanoides",8,2016-08-09,-78.59476,0.127306,2120,"August","2016",222
"2480","Besleria solanoides",10,2015-09-23,-78.599071,0.116816,1950,"September","2015",266
"2481","Drymonia collegarum",4,2014-11-19,-78.598843,0.117151,1950,"November","2014",323
"2482","Besleria solanoides",60,2014-11-19,-78.598843,0.117151,1950,"November","2014",323
"2483","Besleria solanoides",4,2014-11-19,-78.598843,0.117151,1950,"November","2014",323
"2484","Kohleria affinis",5,2015-03-26,-78.598945,0.11694,1950,"March","2015",85
"2485","Glossoloma oblongicalyx",2,2016-04-11,-78.591504,0.130214,2240,"April","2016",102
"2486","Besleria solanoides",18,2015-05-26,-78.598807,0.117326,1950,"May","2015",146
"2487","Glossoloma oblongicalyx",1,2016-05-23,-78.591429,0.130254,2230,"May","2016",144
"2488","Columnea picta",1,2016-06-25,-78.633966,0.115539,1370,"June","2016",177
"2489","Glossoloma oblongicalyx",4,2015-08-13,-78.590669,0.131071,2280,"August","2015",225
"2490","Besleria solanoides",9,2016-08-09,-78.594751,0.127312,2120,"August","2016",222
"2491","Besleria solanoides",30,2016-08-09,-78.594751,0.127312,2120,"August","2016",222
"2492","Besleria solanoides",12,2015-09-23,-78.598874,0.117157,1940,"September","2015",266
"2493","Glossoloma purpureum",6,2016-09-13,-78.634078,0.115621,1370,"September","2016",257
"2494","Gasteranthus lateralis",1,2016-10-18,-78.59543,0.126682,2120,"October","2016",292
"2495","Besleria solanoides",16,2016-10-18,-78.59543,0.126682,2120,"October","2016",292
"2496","Besleria solanoides",25,2014-11-06,-78.594679,0.127409,2120,"November","2014",310
"2497","Besleria solanoides",40,2014-11-06,-78.594679,0.127409,2120,"November","2014",310
"2498","Besleria solanoides",30,2014-11-06,-78.594679,0.127409,2120,"November","2014",310
"2499","Besleria solanoides",100,2014-11-06,-78.594679,0.127409,2120,"November","2014",310
"2500","Columnea medicinalis",1,2014-02-27,-78.596645,0.122781,2020,"February","2014",58
"2501","Columnea mastersonii",2,2014-06-07,-78.62866,0.107658,1570,"June","2014",158
"2502","Gasteranthus quitensis",1,2016-07-29,-78.593603,0.115699,1730,"July","2016",211
"2503","Drymonia teuscheri",2,2016-04-11,-78.591474,0.130207,2240,"April","2016",102
"2504","Drymonia teuscheri",2,2016-04-11,-78.591474,0.130207,2240,"April","2016",102
"2505","Drymonia teuscheri",3,2016-05-23,-78.591391,0.130256,2240,"May","2016",144
"2506","Columnea ciliata",2,2014-06-20,-78.633184,0.114788,1380,"June","2014",171
"2507","Besleria solanoides",32,2016-08-09,-78.594597,0.127374,2120,"August","2016",222
"2508","Besleria solanoides",60,2016-08-09,-78.594597,0.127374,2120,"August","2016",222
"2509","Besleria solanoides",6,2016-08-09,-78.594597,0.127374,2120,"August","2016",222
"2510","Besleria solanoides",32,2016-08-09,-78.594597,0.127374,2120,"August","2016",222
"2511","Besleria solanoides",27,2016-08-09,-78.594597,0.127374,2120,"August","2016",222
"2512","Besleria solanoides",4,2014-11-19,-78.598794,0.117248,1950,"November","2014",323
"2513","Drymonia collegarum",8,2014-12-16,-78.598692,0.117641,1940,"December","2014",350
"2514","Drymonia teuscheri",1,2016-04-11,-78.591455,0.130182,2250,"April","2016",102
"2515","Drymonia teuscheri",2,2016-04-11,-78.591455,0.130182,2250,"April","2016",102
"2516","Drymonia teuscheri",10,2016-05-23,-78.591336,0.130259,2240,"May","2016",144
"2517","Glossoloma oblongicalyx",2,2015-08-13,-78.586379,0.130204,2300,"August","2015",225
"2518","Besleria solanoides",45,2016-08-09,-78.594631,0.127382,2120,"August","2016",222
"2519","Besleria solanoides",30,2016-08-09,-78.594631,0.127382,2120,"August","2016",222
"2520","Besleria solanoides",15,2015-09-23,-78.598817,0.117345,1940,"September","2015",266
"2521","Besleria solanoides",11,2014-11-19,-78.598807,0.117324,1950,"November","2014",323
"2522","Drymonia teuscheri",6,2014-08-02,-78.592898,0.129225,2170,"August","2014",214
"2523","Besleria solanoides",6,2016-08-09,-78.59467,0.127365,2130,"August","2016",222
"2524","Besleria solanoides",18,2014-11-19,-78.598821,0.117332,1950,"November","2014",323
"2525","Besleria solanoides",25,2014-11-19,-78.598821,0.117332,1950,"November","2014",323
"2526","Columnea medicinalis",4,2014-12-16,-78.598588,0.117755,1940,"December","2014",350
"2527","Glossoloma oblongicalyx",1,2016-04-11,-78.590927,0.130744,2260,"April","2016",102
"2528","Drymonia collegarum",1,2015-05-26,-78.598668,0.117627,1940,"May","2015",146
"2529","Drymonia teuscheri",2,2014-08-02,-78.592847,0.129197,2170,"August","2014",214
"2530","Drymonia teuscheri",2,2014-01-21,-78.585302,0.128986,2380,"January","2014",21
"2531","Glossoloma purpureum",1,2014-03-22,-78.632218,0.112885,1390,"March","2014",81
"2532","Columnea ciliata",1,2015-03-26,-78.598656,0.117674,1940,"March","2015",85
"2533","Glossoloma oblongicalyx",1,2016-04-11,-78.59098,0.130701,2260,"April","2016",102
"2534","Columnea medicinalis",4,2015-05-26,-78.598547,0.117778,1940,"May","2015",146
"2535","Columnea medicinalis",2,2016-05-23,-78.591206,0.130088,2260,"May","2016",144
"2536","Besleria solanoides",24,2016-08-09,-78.59456,0.127467,2120,"August","2016",222
"2537","Glossoloma oblongicalyx",1,2014-01-21,-78.585247,0.128941,2380,"January","2014",21
"2538","Columnea medicinalis",1,2014-12-16,-78.59838,0.118025,1940,"December","2014",350
"2539","Columnea ciliata",1,2014-03-22,-78.628699,0.107705,1560,"March","2014",81
"2540","Drymonia teuscheri",6,2016-04-11,-78.590855,0.130865,2270,"April","2016",102
"2541","Columnea picta",4,2014-05-11,-78.629627,0.10715,1600,"May","2014",131
"2542","Columnea kucyniakii",2,2015-05-26,-78.598472,0.117842,1940,"May","2015",146
